Id,Predicted
0,263.01596
1,477.8721
2,233.08464
3,538.2263
4,220.08078
5,593.51855
6,217.01118
7,672.81177
8,234.3132
9,722.10126
10,240.97354
11,794.6348
12,257.6671
13,834.3647
14,270.51294
15,892.2119
16,321.4745
17,914.3408
18,375.1557
19,916.70404
20,447.54538
21,899.80676
22,534.1215
23,870.044
24,610.34314
25,826.77277
26,651.05347
27,784.9469
28,662.3965
29,705.84155
30,669.2755
31,621.9746
32,671.17706
33,537.9402
34,227.76181
35,383.8817
36,241.0634
37,369.93616
38,252.73804
39,367.44995
40,281.7591
41,382.36237
42,302.07938
43,401.6658
44,388.07526
45,404.8014
46,430.05164
47,410.82538
48,494.96725
49,407.27948
50,540.0862
51,421.7289
52,586.0745
53,449.98218
54,330.27417
55,477.87158
56,322.89886
57,536.7728
58,293.20825
59,579.68787
60,287.125
61,617.1854
62,254.6659
63,643.83655
64,277.18405
65,674.56604
66,307.07242
67,668.88293
68,344.7537
69,672.4257
70,366.24142
71,674.02563
72,242.69849
73,470.74854
74,262.70844
75,437.52246
76,286.45563
77,450.46054
78,312.71515
79,478.02313
80,278.53473
81,484.0445
82,255.90097
83,480.0928
84,423.56458
85,509.87396
86,457.06268
87,467.9138
88,498.69824
89,509.44986
90,528.62866
91,509.43896
92,481.50662
93,522.5276
94,448.85403
95,516.8639
96,258.9141
97,742.7777
98,273.3131
99,715.79706
100,278.97736
101,704.5818
102,294.96887
103,732.6383
104,314.5874
105,721.1946
106,374.27518
107,751.5781
108,411.78436
109,778.478
110,376.16016
111,801.4423
112,313.50012
113,816.9812
114,285.9582
115,810.444
116,275.22208
117,802.6101
118,265.37885
119,775.72125
120,269.20007
121,749.6798
122,289.01355
123,744.0336
124,299.14618
125,740.75964
126,320.96066
127,747.3915
128,401.25854
129,778.3515
130,314.18704
131,777.34607
132,297.28384
133,768.83234
134,276.42877
135,760.22003
136,543.2668
137,715.3738
138,534.8458
139,801.7947
140,538.1522
141,891.4847
142,547.4927
143,1015.41583
144,594.84875
145,1106.6187
146,671.27625
147,1190.8938
148,766.0669
149,1240.9054
150,892.71674
151,1306.623
152,1018.3605
153,1339.33
154,1116.6809
155,1339.1935
156,1201.188
157,1291.4854
158,1325.082
159,1233.0637
160,1434.2976
161,1158.1453
162,1504.5073
163,1088.0352
164,1605.2488
165,1012.7941
166,1619.9346
167,937.45
168,1656.259
169,856.29535
170,757.60675
171,686.5491
172,854.0509
173,655.36163
174,992.7231
175,667.48035
176,1077.1857
177,711.8616
178,1172.1426
179,738.54706
180,1317.6365
181,767.3711
182,1422.5354
183,757.44006
184,1495.98
185,727.35864
186,1586.1416
187,741.74384
188,1618.8209
189,785.581
190,1218.5208
191,833.69275
192,1234.8525
193,891.97296
194,1223.0444
195,939.29095
196,1235.4597
197,1019.53406
198,1040.6063
199,1033.9803
200,1093.5691
201,1040.7242
202,1188.6396
203,1071.0317
204,1241.4996
205,1063.717
206,1310.4578
207,1041.2996
208,833.471
209,765.4316
210,929.4201
211,766.9757
212,991.1509
213,769.1785
214,1032.2842
215,799.6295
216,976.4753
217,810.6294
218,909.1465
219,792.9214
220,1330.0461
221,849.5967
222,1404.6697
223,802.50854
224,1439.3461
225,843.96094
226,1506.3177
227,846.7044
228,1462.9712
229,880.9367
230,1389.9596
231,843.1449
232,884.6952
233,1101.5454
234,986.40216
235,1102.2874
236,1074.7042
237,1102.3757
238,1144.292
239,1120.8354
240,1179.6179
241,1120.4243
242,1242.5176
243,1123.3237
244,1268.0217
245,1135.1606
246,1225.6013
247,1170.9995
248,1145.4569
249,1185.0983
250,1106.55
251,1214.3137
252,1022.6646
253,1191.2644
254,966.7019
255,1164.769
256,908.6019
257,1087.9128
258,1085.5632
259,1132.1982
260,1167.9438
261,1133.832
262,1168.289
263,1147.405
264,1286.15
265,1153.4705
266,1158.0405
267,1147.0729
268,1100.9058
269,1153.4341
270,1056.5009
271,1142.9868
272,139.8125
273,172.62349
274,140.85066
275,214.60246
276,145.12115
277,248.75676
278,151.2452
279,293.4712
280,170.28676
281,329.30978
282,193.92159
283,355.83984
284,224.46124
285,373.52084
286,267.9981
287,388.43945
288,306.62177
289,391.77344
290,348.1198
291,388.23434
292,386.92935
293,372.07706
294,420.4124
295,350.3157
296,444.93124
297,323.49664
298,460.23663
299,287.3626
300,464.93295
301,244.17076
302,468.396
303,202.0359
304,469.425
305,165.18024
306,163.46658
307,127.197556
308,174.87341
309,111.19993
310,203.84506
311,98.04632
312,231.89029
313,103.081764
314,270.4238
315,104.12241
316,323.16888
317,108.12043
318,359.09204
319,101.23416
320,387.3006
321,95.18065
322,418.9216
323,102.22766
324,440.3331
325,125.60256
326,298.3819
327,138.49606
328,302.02777
329,162.46646
330,298.06244
331,190.55302
332,303.16003
333,211.14581
334,264.31064
335,231.90443
336,279.61426
337,236.8403
338,308.6831
339,246.68997
340,320.89795
341,246.19005
342,342.7922
343,235.88164
344,193.97754
345,149.5777
346,208.22021
347,138.39679
348,233.60184
349,137.47885
350,249.1427
351,149.42227
352,231.33452
353,155.8457
354,209.37392
355,152.60333
356,340.1223
357,149.71474
358,370.9921
359,132.09702
360,379.31076
361,138.0127
362,406.08057
363,149.2977
364,387.46677
365,153.7222
366,361.77026
367,149.87225
368,236.0051
369,299.3042
370,261.06903
371,283.52078
372,278.25568
373,270.83914
374,298.50937
375,282.65817
376,314.1988
377,281.28094
378,348.6155
379,280.75317
380,367.93042
381,291.1972
382,350.8069
383,311.61136
384,318.6961
385,318.6795
386,308.63736
387,321.30643
388,282.6187
389,318.16595
390,256.7183
391,309.0355
392,246.86252
393,296.50723
394,286.48956
395,284.04926
396,311.4163
397,287.4829
398,320.08856
399,291.73132
400,362.66156
401,292.4194
402,322.89777
403,300.04495
404,296.44534
405,304.0635
406,276.5551
407,297.09103
408,322.48373
409,595.9845
410,334.67688
411,714.35486
412,356.44394
413,824.7445
414,370.27826
415,983.3712
416,421.5104
417,1065.2852
418,489.5271
419,1169.8954
420,577.67896
421,1213.1206
422,685.6133
423,1280.6188
424,764.3474
425,1289.6156
426,859.02057
427,1272.8713
428,918.9706
429,1195.1423
430,1003.47235
431,1090.9666
432,1063.6008
433,1032.6409
434,1091.0057
435,935.4338
436,1113.1138
437,825.9891
438,1113.5966
439,725.69586
440,1118.7662
441,612.02826
442,410.47653
443,591.656
444,466.03345
445,552.2078
446,554.4186
447,540.46594
448,625.4646
449,579.7313
450,708.17126
451,596.9945
452,815.48254
453,595.4289
454,920.8911
455,574.5808
456,971.9486
457,563.42395
458,1036.2756
459,552.93994
460,1083.1171
461,586.96686
462,759.6342
463,676.5735
464,781.1712
465,762.3322
466,773.439
467,838.16205
468,796.06134
469,930.31836
470,678.4121
471,949.9647
472,716.8799
473,951.681
474,778.53625
475,986.32806
476,819.9739
477,976.0651
478,857.5706
479,936.11096
480,498.62827
481,655.43146
482,539.08545
483,631.9752
484,597.45715
485,631.62756
486,646.84314
487,675.6378
488,584.8601
489,709.3591
490,542.917
491,710.55206
492,856.6135
493,700.9142
494,915.98346
495,621.8994
496,953.189
497,641.30054
498,1005.4293
499,665.19525
500,960.5523
501,687.7028
502,899.1679
503,679.17786
504,582.0293
505,1061.7593
506,663.8637
507,1037.2842
508,723.2274
509,1014.376
510,762.2449
511,1054.8845
512,810.65186
513,1043.1115
514,855.2591
515,1035.8776
516,905.6409
517,1011.2858
518,883.7006
519,1104.9839
520,808.2222
521,1137.8921
522,765.03656
523,1140.2175
524,721.4579
525,1131.9897
526,656.2091
527,1089.9244
528,613.895
529,1026.4353
530,735.4792
531,1058.02
532,779.0663
533,1057.8463
534,805.79126
535,1065.4962
536,906.63367
537,1025.5157
538,814.1337
539,1074.7263
540,767.3019
541,1086.5255
542,725.095
543,1081.3226
544,527.93024
545,622.9147
546,529.6659
547,746.45654
548,560.7688
549,838.99
550,590.5926
551,973.3681
552,658.39453
553,1057.8794
554,725.0847
555,1152.023
556,848.6211
557,1195.0493
558,956.96844
559,1261.427
560,1078.3303
561,1264.0033
562,1200.5759
563,1261.8171
564,1293.7849
565,1171.8599
566,1380.689
567,1085.5581
568,1459.091
569,1004.84485
570,1499.7693
571,929.7802
572,1535.5522
573,799.5732
574,1541.0914
575,698.8071
576,1528.5013
577,606.61584
578,609.6927
579,572.6276
580,672.28094
581,509.99908
582,766.4962
583,500.77643
584,854.93524
